Run,Relation,Foundation,MFT factor,R-1,P-1,R-2,P-2,R-L,Nodes,BLEU,CHRF++,METEOR
10b,Min ,None,5,0.221,0.305,0.030,0.043,0.144,0.258,0.016,0.205,0.145
11b,Random,None,5,0.106,0.347,0.019,0.064,0.109,0.159,0.004,0.116,0.081
12b,Max,None,5,0.200,0.293,0.025,0.043,0.138,0.256,0.012,0.195,0.132
13b,Min ,All,5,0.187,0.293,0.025,0.049,0.135,0.258,0.013,0.189,0.126
14b,Random,All,5,0.199,0.318,0.030,0.054,0.138,0.261,0.017,0.195,0.139
15b,Max,All,5,0.203,0.312,0.033,0.065,0.143,0.259,0.019,0.198,0.140
16,Max,Care,5,0.200,0.306,0.025,0.043,0.135,0.251,0.010,0.193,0.135
17,Max,Fairness,5,0.202,0.306,0.025,0.044,0.141,0.249,0.015,0.197,0.134
18,Max,Loyalty,5,0.199,0.296,0.024,0.041,0.135,0.242,0.011,0.198,0.133
19,Max,Authority,5,0.196,0.290,0.021,0.031,0.135,0.242,0.011,0.190,0.129
20,Max,Sanctity,5,0.214,0.306,0.026,0.038,0.142,0.260,0.010,0.203,0.140
21,Max,All,20,0.187,0.300,0.022,0.045,0.131,0.246,0.011,0.187,0.128
22,Max,Care,20,0.201,0.301,0.023,0.034,0.138,0.232,0.013,0.193,0.132
23,Max,Fairness,20,0.191,0.286,0.021,0.037,0.136,0.245,0.010,0.189,0.131
24,Max,Loyalty,20,0.207,0.289,0.023,0.031,0.135,0.260,0.012,0.198,0.135
25,Max,Authority,20,0.189,0.278,0.021,0.032,0.130,0.247,0.010,0.193,0.126
26,Max,Sanctity,20,0.209,0.298,0.025,0.035,0.137,0.259,0.009,0.195,0.139
